POS Tagset	Number of Words	Use String Reduction
discourse marker, indications of continuation across multiple tweets	2	false
discourse marker, indications of continuation across multiple tweets	1	true
at-mention (indicates a user as a recipient of a tweet)	4	false
at-mention (indicates a user as a recipient of a tweet)	4	true
determiner	6	false
determiner	2	true
common noun	8	false
common noun	8	true
pre- or postposition, or subordinating conjunction	4	false
pre- or postposition, or subordinating conjunction	1	true
verb including copula, auxiliaries	14	false
verb including copula, auxiliaries	7	true
proper noun	11	false
proper noun	7	true
URL or email address	4	false
URL or email address	1	true
punctuation	5	false
punctuation	1	true
interjection	5	false
interjection	4	true
pronoun, non possessive	6	false
pronoun, non possessive	1	true
adverb	3	false
adverb	2	true
coordinating conjunction	1	false
coordinating conjunction	1	true
numeral	2	false
numeral	1	true
emoticon	1	false
emoticon	1	true
